customer_id,tenure,monthly_charges,contract_type,support_tickets,usage_score,churn
C0053,27,46.28,monthly,2,80.59,1
C0054,34,111.64,monthly,3,57.22,1
C0055,36,34.02,monthly,2,89.48,0
C0056,4,50.96,annual,2,78.79,0
C0057,40,56.29,annual,3,97.92,0
C0058,12,74.12,monthly,2,91.08,0
C0059,54,82.78,monthly,1,40.36,0
C0060,50,74.4,annual,3,72.72,0
C0061,67,37.57,annual,8,21.64,1
C0062,54,51.93,monthly,1,99.29,0
C0063,27,105.92,annual,5,40.88,0
C0064,70,87.38,annual,2,73.18,0
C0065,30,88.42,annual,4,87.93,0
C0066,24,90.32,monthly,1,32.84,1
C0067,66,98.66,monthly,2,87.83,0
C0068,27,35.23,monthly,5,20.98,1
C0069,6,62.99,monthly,2,55.36,1
C0070,34,78.56,monthly,8,57.76,1
C0071,58,60.46,monthly,1,49.93,0
C0072,14,106.0,monthly,1,66.91,0
C0073,34,73.43,monthly,2,93.19,0
C0074,10,99.18,annual,1,46.16,1
C0075,50,106.68,monthly,2,66.34,1
C0076,35,75.43,monthly,0,90.2,0
C0077,24,111.86,annual,3,81.84,1
C0078,17,82.84,annual,3,23.26,1
C0079,41,106.52,annual,6,95.42,1
C0080,49,60.65,annual,2,23.73,0
C0081,68,74.89,annual,5,67.1,0
C0082,32,77.83,monthly,0,66.03,1
C0083,12,39.45,monthly,3,82.91,0
C0084,60,65.87,monthly,2,31.88,1
C0085,46,112.56,monthly,1,34.35,1
C0086,51,86.77,annual,4,80.17,1
C0087,8,45.98,monthly,6,31.96,1
C0088,23,60.5,monthly,2,57.56,1
C0089,56,47.24,monthly,2,78.53,1
C0090,60,32.23,monthly,2,72.1,0
C0091,32,113.47,monthly,2,36.85,1
C0092,58,70.34,monthly,1,44.32,1
C0093,61,57.68,annual,2,97.52,1
C0094,28,83.86,monthly,1,55.89,1
C0095,65,30.66,annual,1,23.56,0
C0096,21,55.02,annual,3,37.57,0
C0097,18,93.27,monthly,0,47.39,1
C0098,50,87.04,monthly,2,99.96,1
C0099,46,118.36,annual,5,44.22,1
C0100,11,85.83,monthly,4,22.11,1
C0101,60,72.98,annual,4,61.03,1
C0102,15,98.53,monthly,3,26.69,1
C0103,58,111.3,annual,3,41.93,1
C0104,1,94.86,annual,2,99.39,0
C0105,58,116.69,monthly,1,76.37,0
C0106,57,100.38,monthly,2,24.05,1
C0107,57,108.01,annual,2,55.89,0
C0108,48,40.27,monthly,5,33.73,1
C0109,34,95.92,monthly,4,29.84,1
C0110,51,69.61,monthly,1,66.97,1
C0111,20,79.78,monthly,1,60.45,1
C0112,57,88.87,annual,3,79.43,1
C0113,41,117.28,annual,2,91.38,0
C0114,34,118.61,monthly,5,39.73,1
C0115,37,55.94,annual,3,93.84,0
C0116,41,96.04,monthly,0,61.44,0
C0117,3,97.5,monthly,4,40.71,1
C0118,11,61.18,monthly,3,87.66,1
C0119,18,41.15,annual,2,22.84,0
C0120,9,33.69,monthly,2,64.76,1
C0121,32,99.96,monthly,8,77.73,1
C0122,49,74.07,monthly,2,42.4,1
C0123,48,118.7,annual,1,89.08,0
C0124,34,71.85,monthly,3,39.22,0
C0125,62,118.01,monthly,4,87.19,1
C0126,41,67.04,annual,3,26.28,1
C0127,6,101.43,monthly,4,32.79,1
C0128,56,37.63,monthly,3,50.48,0
C0129,42,79.99,monthly,5,88.32,1
C0130,46,102.19,monthly,3,31.57,1
C0131,41,113.22,monthly,3,90.04,1
C0132,40,104.03,annual,2,38.38,1
C0133,7,33.33,monthly,4,56.2,1
C0134,41,63.54,annual,1,48.22,1
C0135,58,34.38,annual,4,29.45,0
C0136,22,39.84,monthly,2,95.54,1
C0137,44,90.78,monthly,8,55.05,1
C0138,3,94.19,annual,3,75.23,1
C0139,26,99.63,monthly,3,66.02,1
C0140,32,107.89,annual,2,60.14,1
C0141,71,96.55,annual,3,69.33,0
C0142,16,102.08,monthly,2,91.87,0
C0143,20,34.41,monthly,2,75.94,1
C0144,30,51.11,monthly,8,62.6,1
C0145,72,85.97,monthly,1,71.61,1
C0146,62,107.23,monthly,4,68.51,1
C0147,3,30.41,monthly,8,54.65,1
C0148,17,76.32,annual,1,69.98,1
C0149,60,90.96,annual,1,55.49,0
C0150,5,32.66,annual,6,80.61,1
C0151,62,66.12,monthly,3,97.51,0
C0152,21,110.61,monthly,4,96.79,1
C0153,67,90.45,monthly,2,85.66,1
C0154,22,51.39,monthly,1,68.14,1
C0155,32,106.75,annual,3,79.95,0
C0156,48,61.32,monthly,2,34.24,1
C0157,10,106.8,monthly,4,58.32,1
C0158,41,56.9,annual,0,40.58,0
C0159,37,83.13,monthly,3,20.28,1
C0160,57,65.72,monthly,3,97.34,0
C0161,72,54.73,monthly,3,89.11,0
C0162,48,109.79,monthly,4,61.1,1
C0163,30,46.88,annual,2,40.33,1
C0164,30,37.63,monthly,2,75.44,1
C0165,31,60.77,annual,2,54.78,1
C0166,59,94.59,annual,5,84.27,1
C0167,24,102.67,annual,1,99.96,0
C0168,13,119.89,monthly,1,47.93,1
C0169,25,56.67,monthly,5,39.55,1
C0170,2,66.71,annual,2,41.39,0
C0171,8,42.31,monthly,4,27.47,1
C0172,7,81.74,monthly,1,51.52,1
C0173,56,119.78,annual,3,21.39,1
C0174,53,93.08,monthly,1,29.15,1
C0175,51,83.57,annual,5,41.74,1
C0176,34,65.31,annual,7,32.79,1
C0177,52,112.38,annual,0,78.57,1
C0178,12,74.72,monthly,1,28.45,1
C0179,65,42.09,annual,1,89.28,0
C0180,37,62.88,monthly,3,37.69,1
C0181,68,36.05,annual,2,28.69,0
C0182,11,48.18,annual,2,20.81,1
C0183,36,31.59,annual,4,77.22,0
C0184,51,70.8,monthly,3,40.53,1
C0185,36,87.11,monthly,1,60.76,1
C0186,33,60.9,monthly,2,28.93,1
C0187,12,67.83,monthly,2,98.82,1
C0188,28,116.33,monthly,5,30.03,1
C0189,18,97.68,monthly,2,52.95,1
C0190,22,78.68,monthly,5,88.13,1
C0191,50,55.61,annual,1,39.59,1
C0192,46,110.73,annual,2,41.36,1
C0193,44,51.16,monthly,1,84.68,0
C0194,27,59.28,annual,2,41.87,1
C0195,70,111.82,annual,2,20.23,1
C0196,7,77.66,monthly,3,54.23,1
C0197,25,96.81,monthly,7,21.0,1
C0198,9,83.17,annual,1,92.78,1
C0199,25,88.81,annual,1,71.35,0
C0200,70,56.94,annual,1,66.64,0
C0201,27,51.72,annual,3,36.13,0
C0202,66,59.02,annual,1,76.0,1
C0203,36,43.99,monthly,4,74.18,0
C0204,51,108.69,monthly,4,24.84,1
C0205,33,55.49,monthly,5,90.47,1
C0206,20,80.53,annual,1,66.35,0
C0207,56,101.28,monthly,1,83.4,1
C0208,70,100.54,monthly,5,41.03,1
C0209,19,69.45,annual,2,29.76,1
C0210,57,72.86,monthly,1,76.2,0
C0211,19,119.52,annual,6,83.51,1
C0212,52,90.71,monthly,3,50.88,0
C0213,57,103.32,annual,0,21.9,0
C0214,33,111.23,annual,2,85.46,1
C0215,54,100.88,monthly,4,36.49,1
C0216,20,46.67,annual,2,47.12,1
C0217,6,80.6,monthly,5,70.26,1
C0218,7,39.17,monthly,0,28.0,1
C0219,33,88.76,annual,1,25.76,0
C0220,65,115.98,annual,3,22.06,1
C0221,10,76.15,monthly,4,93.33,1
C0222,33,68.97,monthly,3,44.91,0
C0223,51,33.23,annual,3,72.85,0
C0224,15,116.38,monthly,1,99.14,1
C0225,52,39.27,monthly,3,73.56,1
C0226,23,33.7,monthly,0,62.01,0
C0227,59,52.15,monthly,7,61.67,1
C0228,42,35.9,annual,4,50.15,0
C0229,40,70.96,monthly,3,67.98,0
C0230,13,76.45,monthly,3,96.7,1
C0231,34,58.13,annual,2,83.04,0
C0232,62,34.59,monthly,6,53.94,0
C0233,2,40.04,annual,2,46.6,0
C0234,55,64.61,monthly,2,90.68,0
C0235,36,35.45,annual,2,30.86,1
C0236,52,92.84,annual,1,87.97,0
C0237,48,48.63,annual,5,40.41,0
C0238,32,57.19,monthly,1,77.25,1
C0239,23,65.47,monthly,7,84.5,1
C0240,46,67.49,annual,3,58.16,1
C0241,11,30.15,monthly,2,35.38,1
C0242,43,40.09,monthly,0,87.58,0
C0243,7,107.65,monthly,5,49.4,1
C0244,47,30.11,annual,3,45.65,1
C0245,46,75.74,annual,0,60.8,0
C0246,7,74.06,monthly,4,54.81,1
C0247,55,59.98,annual,3,74.64,0
C0248,30,68.82,monthly,4,30.98,1
C0249,57,100.25,monthly,4,54.86,1
C0250,3,105.71,monthly,6,91.34,1
C0251,13,53.43,monthly,7,22.89,1
C0252,36,59.02,monthly,3,56.59,1
C0253,14,51.82,annual,4,72.84,1
C0254,24,73.19,annual,5,91.02,0
C0255,48,91.49,monthly,6,67.5,1
C0256,11,50.54,monthly,7,85.96,1
C0257,49,59.77,monthly,4,37.82,1
C0258,8,113.73,annual,3,48.22,1
C0259,13,34.37,annual,3,95.37,0
C0260,43,71.47,annual,0,90.88,0
C0261,58,94.04,monthly,3,64.64,1
C0262,13,43.54,monthly,2,58.04,0
C0263,22,34.26,monthly,4,56.09,1
C0264,67,42.44,monthly,4,24.7,1
C0265,72,112.69,monthly,5,91.39,1
C0266,42,30.83,monthly,6,85.45,1
C0267,33,46.95,annual,6,56.5,1
C0268,25,32.82,monthly,2,42.36,1
C0269,45,39.96,monthly,2,47.43,1
C0270,43,85.81,annual,4,29.85,0
C0271,22,51.75,monthly,7,77.74,1
C0272,2,81.23,annual,4,64.53,0
C0273,11,83.12,monthly,1,38.73,1
C0274,70,106.45,annual,6,69.84,1
C0275,31,30.43,monthly,3,98.34,0
C0276,35,106.8,monthly,1,29.79,0
C0277,34,85.72,annual,1,56.68,0
C0278,57,44.65,monthly,5,59.53,1
C0279,5,99.56,monthly,2,33.34,1
C0280,6,106.99,monthly,5,62.53,1
C0281,20,52.88,monthly,4,68.48,1
C0282,36,112.69,annual,3,32.59,1
C0283,49,70.9,monthly,1,32.38,1
C0284,36,84.31,monthly,4,88.51,0
C0285,32,118.62,monthly,0,44.91,1
C0286,68,62.54,annual,2,70.43,0
C0287,12,103.18,monthly,3,70.14,1
C0288,42,58.66,annual,3,87.13,1
C0289,40,101.93,annual,2,79.19,1
C0290,35,84.07,monthly,3,87.25,1
C0291,59,49.47,annual,4,70.02,0
C0292,20,67.26,monthly,2,55.96,1
C0293,69,58.59,monthly,3,51.49,1
C0294,24,37.03,annual,4,50.32,0
C0295,40,32.69,annual,2,53.47,0
C0296,38,61.18,monthly,3,30.34,1
C0297,62,31.71,monthly,1,53.92,1
C0298,32,44.89,monthly,4,51.16,1
C0299,21,95.27,monthly,2,22.77,1
C0300,2,93.73,monthly,3,42.01,1
C0301,27,96.47,monthly,0,80.15,1
C0302,60,58.54,monthly,4,66.24,0
C0303,1,110.1,monthly,1,84.49,1
C0304,65,83.44,annual,5,63.42,0
C0305,40,41.34,annual,9,88.33,0
C0306,11,42.93,annual,6,83.69,1
C0307,22,92.38,monthly,5,27.86,1
C0308,40,45.56,monthly,5,98.16,1
C0309,23,75.66,monthly,3,21.18,1
C0310,8,119.26,monthly,3,67.75,1
C0311,48,30.36,monthly,1,83.4,0
C0312,49,31.49,monthly,4,46.55,1
C0313,9,119.38,annual,3,67.89,1
C0314,21,82.62,monthly,2,48.97,1
C0315,18,41.42,annual,1,24.85,1
C0316,48,110.76,monthly,7,20.68,1
C0317,53,109.23,annual,4,27.59,0
C0318,53,78.26,monthly,4,27.87,1
C0319,68,85.96,monthly,4,68.87,1
C0320,56,54.59,monthly,3,62.07,1
C0321,24,34.55,annual,0,56.44,0
C0322,8,83.51,monthly,3,75.35,1
C0323,45,56.53,monthly,3,21.35,0
C0324,66,89.73,monthly,2,41.68,1
C0325,71,105.26,annual,0,82.19,0
C0326,17,31.63,monthly,4,92.8,1
C0327,18,83.61,monthly,2,55.07,1
C0328,3,50.82,monthly,1,26.52,1
C0329,11,108.65,annual,2,83.9,1
C0330,40,52.83,monthly,5,90.81,1
C0331,40,84.97,monthly,3,53.09,1
C0332,27,79.82,annual,5,39.47,0
C0333,23,65.65,monthly,3,23.52,1
C0334,60,90.99,monthly,5,67.29,1
C0335,34,95.32,monthly,5,92.79,1
C0336,59,81.02,monthly,2,74.23,0
C0337,70,98.26,monthly,3,45.38,1
C0338,23,118.51,monthly,2,71.43,1
C0339,15,67.73,annual,1,86.57,0
C0340,69,76.31,annual,4,58.07,1
C0341,46,31.12,monthly,3,85.58,1
C0342,21,101.64,monthly,1,51.35,1
C0343,45,76.82,monthly,2,47.88,0
C0344,38,66.72,annual,0,66.64,1
C0345,66,38.47,monthly,1,57.17,0
C0346,19,110.07,monthly,6,98.17,1
C0347,72,65.55,monthly,4,61.31,0
C0348,68,91.43,monthly,5,50.81,1
C0349,14,43.44,monthly,2,51.59,1
C0350,12,116.54,annual,3,63.84,1
C0351,39,46.06,monthly,6,48.39,1
C0352,4,47.96,annual,4,77.83,1
C0353,22,107.31,monthly,4,50.45,1
C0354,32,112.13,annual,4,50.73,0
C0355,70,49.09,annual,4,69.36,0
C0356,72,72.28,annual,2,24.87,0
C0357,11,96.01,monthly,2,72.43,1
C0358,65,109.05,monthly,2,60.4,0
C0359,7,64.11,monthly,1,56.24,1
C0360,54,76.53,monthly,2,77.54,1
C0361,61,96.75,monthly,2,80.66,0
C0362,65,95.8,annual,6,87.7,0
C0363,17,100.47,annual,4,49.98,0
C0364,65,81.29,monthly,1,46.16,0
C0365,9,39.42,monthly,3,77.15,1
C0366,38,111.36,annual,2,66.54,0
C0367,34,107.9,annual,2,70.54,1
C0368,23,101.83,monthly,2,64.44,1
C0369,2,38.99,monthly,1,81.82,0
C0370,56,48.4,annual,2,35.2,0
C0371,25,96.92,monthly,1,64.46,1
C0372,48,32.08,monthly,3,32.65,1
C0373,30,118.13,annual,5,52.58,1
C0374,27,63.94,annual,1,73.12,1
C0375,64,94.74,annual,1,59.45,1
C0376,7,109.88,annual,1,50.37,1
C0377,54,65.52,monthly,2,90.8,1
C0378,54,58.72,monthly,3,81.83,1
C0379,28,84.79,monthly,2,62.1,0
C0380,19,82.29,monthly,2,96.0,1
C0381,1,66.82,monthly,2,53.95,1
C0382,68,84.16,monthly,3,83.05,0
C0383,69,114.18,monthly,2,33.43,1
C0384,18,72.09,annual,3,42.86,1
C0385,3,47.71,monthly,6,47.05,1
C0386,9,63.95,monthly,2,28.47,1
C0387,5,65.47,monthly,3,60.14,1
C0388,60,41.8,monthly,3,35.38,1
C0389,65,44.66,annual,3,70.73,1
C0390,12,91.61,monthly,4,35.21,1
C0391,54,60.55,monthly,5,29.88,1
C0392,13,115.94,annual,4,97.53,1
C0393,27,51.92,monthly,3,72.66,1
C0394,44,38.9,monthly,3,94.92,0
C0395,52,97.82,monthly,2,59.19,1
C0396,63,109.29,monthly,0,22.67,0
C0397,4,55.03,annual,3,65.95,1
C0398,15,48.19,monthly,2,64.67,1
C0399,21,46.72,monthly,5,21.2,0
C0400,23,76.98,monthly,1,88.9,1
C0401,72,72.16,monthly,3,69.6,0
C0402,56,53.35,monthly,2,79.58,0
C0403,24,34.07,annual,5,59.51,0
C0404,70,73.33,monthly,2,69.47,0
C0405,36,116.34,monthly,7,40.6,1
C0406,37,88.73,monthly,4,97.9,0
C0407,32,74.6,monthly,6,52.06,0
C0408,11,39.96,monthly,6,32.99,1
C0409,68,52.72,annual,2,24.47,0
C0410,2,56.53,annual,6,70.89,1
C0411,13,98.83,monthly,2,98.67,1
C0412,17,108.9,monthly,0,91.66,0
C0413,21,111.15,annual,3,76.17,1
C0414,10,118.61,monthly,4,99.25,1
C0415,2,118.41,monthly,2,77.83,1
C0416,49,115.77,monthly,2,47.14,1
C0417,70,36.46,annual,4,68.1,0
C0418,9,42.4,annual,6,26.38,1
C0419,22,57.4,monthly,7,37.73,1
C0420,37,79.76,annual,4,53.4,1
C0421,67,38.73,monthly,1,36.15,0
C0422,50,106.12,monthly,1,96.28,1
C0423,56,85.51,monthly,4,99.65,0
C0424,42,78.81,monthly,2,49.67,1
C0425,31,44.88,monthly,1,76.74,1
C0426,15,52.79,monthly,3,52.62,0
C0427,63,44.43,monthly,2,31.16,0
C0428,58,106.67,annual,3,46.95,0
C0429,2,82.58,monthly,2,38.67,1
C0430,52,96.16,monthly,2,46.25,1
C0431,7,56.64,monthly,3,37.2,0
C0432,54,63.41,monthly,2,28.99,1
C0433,60,66.44,annual,4,37.39,0
C0434,10,98.4,annual,1,92.46,1
C0435,32,99.51,annual,2,26.82,1
C0436,9,48.61,monthly,3,45.98,1
C0437,41,114.74,monthly,6,62.28,1
C0438,67,40.86,monthly,1,48.36,1
C0439,6,110.65,monthly,3,61.41,1
C0440,29,39.04,monthly,3,23.47,1
C0441,71,53.81,monthly,0,71.89,1
C0442,22,106.18,monthly,5,65.08,1
C0443,10,46.15,monthly,8,74.48,1
C0444,36,67.22,monthly,3,65.38,1
C0445,37,70.49,annual,4,55.03,0
C0446,48,52.07,annual,2,48.01,0
C0447,23,93.92,monthly,3,38.11,1
C0448,69,106.62,annual,3,60.01,1
C0449,38,108.71,monthly,1,22.08,1
C0450,21,60.54,annual,4,46.26,1
C0451,70,77.78,annual,5,74.23,1
C0452,67,52.36,monthly,2,28.7,0
C0453,36,52.03,annual,6,25.03,1
C0454,2,44.51,annual,7,72.17,0
C0455,43,114.6,annual,1,51.82,0
C0456,40,109.92,annual,1,84.15,0
C0457,11,99.96,monthly,5,94.98,1
C0458,46,76.59,monthly,2,96.56,0
C0459,61,74.15,annual,0,54.05,0
C0460,8,77.68,monthly,0,41.15,1
C0461,53,78.29,monthly,3,68.69,1
C0462,11,69.11,monthly,6,70.26,1
C0463,54,41.86,monthly,2,69.79,0
C0464,31,41.31,monthly,1,45.74,1
C0465,1,115.7,annual,6,25.1,1
C0466,70,73.38,monthly,4,36.8,1
C0467,12,115.79,annual,2,32.35,1
C0468,43,44.72,annual,2,29.91,1
C0469,14,79.9,monthly,3,94.1,1
C0470,68,48.69,monthly,3,21.11,1
C0471,54,52.79,monthly,2,68.15,0
C0472,58,32.7,annual,4,95.8,0
C0473,32,40.71,annual,4,48.8,0
C0474,34,112.52,monthly,3,62.17,1
C0475,46,58.94,monthly,5,75.66,1
C0476,57,84.73,monthly,4,45.37,0
C0477,61,71.85,monthly,3,58.21,0
C0478,2,66.04,annual,2,85.37,1
C0479,48,77.87,annual,2,79.63,0
C0480,8,46.85,monthly,0,84.68,1
C0481,21,118.97,annual,2,98.99,1
C0482,60,103.65,monthly,3,49.63,1
C0483,19,96.75,annual,1,79.77,0
C0484,58,72.19,monthly,1,68.22,0
C0485,34,43.76,monthly,4,73.33,0
C0486,17,112.86,annual,3,79.19,1
C0487,25,60.72,monthly,1,79.98,1
C0488,39,34.51,annual,3,90.86,0
C0489,56,60.82,annual,3,47.95,0
C0490,44,101.5,monthly,0,72.28,1
C0491,68,86.04,monthly,6,42.42,1
C0492,63,97.58,annual,1,67.57,0
C0493,55,101.43,monthly,3,80.09,0
C0494,44,49.08,monthly,2,83.28,0
C0495,21,113.14,monthly,3,53.61,1
C0496,30,69.42,annual,3,60.7,1
C0497,9,87.51,monthly,3,46.71,1
C0498,27,30.21,monthly,5,33.52,1
C0499,67,119.4,annual,3,40.84,1
C0500,31,55.28,monthly,5,92.97,1
C0501,9,35.59,annual,2,44.72,1
C0502,47,71.24,monthly,3,97.98,0
C0503,70,41.61,annual,3,39.32,1
C0504,63,43.71,annual,2,77.85,0
C0505,20,86.91,monthly,5,65.91,1
C0506,33,65.36,annual,1,75.75,1
C0507,39,112.97,monthly,3,71.52,1
C0508,18,58.72,monthly,1,76.54,1
C0509,20,95.36,monthly,6,92.44,1
C0510,18,71.5,annual,4,65.08,1
C0511,72,89.4,monthly,1,25.43,1
C0512,54,83.97,monthly,3,41.67,0
C0513,61,72.55,monthly,0,76.66,0
C0514,59,115.51,monthly,0,59.53,1
C0515,70,60.84,monthly,3,63.88,0
C0516,8,45.95,monthly,4,67.73,1
C0517,64,91.03,monthly,1,50.61,1
C0518,5,106.14,monthly,5,81.91,1
C0519,35,33.62,monthly,3,77.88,1
C0520,43,70.47,monthly,4,77.14,0
C0521,26,110.32,annual,4,77.22,1
C0522,11,97.47,monthly,3,91.23,1
C0523,14,119.26,monthly,1,67.63,1
C0524,60,77.83,monthly,2,97.37,0
C0525,23,89.4,monthly,8,29.54,1
C0526,23,57.22,monthly,3,70.56,1
C0527,67,115.28,annual,3,77.35,1
C0528,11,62.97,monthly,6,58.18,1
C0529,66,96.47,monthly,2,43.06,1
C0530,67,66.28,monthly,5,64.0,0
C0531,44,80.56,monthly,1,49.18,1
C0532,12,94.78,monthly,3,92.73,1
C0533,12,75.8,monthly,4,48.54,1
C0534,21,111.64,monthly,3,34.06,1
C0535,42,67.74,monthly,2,66.11,0
C0536,12,88.24,annual,2,51.68,1
C0537,33,60.81,annual,2,27.67,0
C0538,9,66.73,monthly,1,65.19,1
C0539,39,69.6,monthly,0,63.03,1
C0540,2,41.32,annual,1,33.86,0
C0541,52,38.26,monthly,4,67.81,1
C0542,4,90.07,annual,3,65.39,1
C0543,15,89.0,monthly,2,81.89,1
C0544,13,89.66,annual,3,48.93,1
C0545,60,31.78,annual,3,39.9,1
C0546,4,59.39,monthly,5,96.1,0
C0547,31,47.8,monthly,1,64.9,1
C0548,43,100.03,monthly,0,22.17,0
C0549,38,107.46,monthly,2,85.66,1
C0550,50,52.2,monthly,1,35.74,0
C0551,58,90.11,annual,3,82.88,0
C0552,29,41.64,monthly,5,76.41,1
C0553,60,54.76,monthly,5,97.51,1
C0554,23,42.48,annual,4,97.25,0
C0555,71,55.52,monthly,4,41.95,0
C0556,37,90.73,monthly,1,81.32,1
C0557,53,111.93,annual,1,45.35,0
C0558,64,48.23,monthly,2,70.34,0
C0559,58,78.79,monthly,4,67.82,1
C0560,62,93.13,monthly,3,24.36,1
C0561,39,115.76,annual,3,20.41,1
C0562,4,84.91,monthly,1,24.62,1
C0563,36,52.96,monthly,4,30.24,1
C0564,14,86.29,monthly,5,40.61,0
C0565,65,58.84,monthly,0,92.56,1
C0566,18,117.85,annual,2,61.49,1
C0567,17,65.97,monthly,3,83.75,1
C0568,18,91.69,annual,0,87.06,0
C0569,47,32.09,monthly,3,78.8,0
C0570,42,66.01,monthly,2,51.31,1
C0571,69,108.76,annual,5,89.11,1
C0572,30,84.92,monthly,5,79.36,1
C0573,21,69.95,monthly,3,79.45,1
C0574,4,114.23,annual,3,92.13,1
C0575,1,106.86,monthly,1,67.89,1
C0576,27,59.0,monthly,1,62.29,1
C0577,67,79.01,annual,1,91.21,0
C0578,38,74.08,monthly,7,56.36,1
C0579,65,86.9,monthly,3,84.93,1
C0580,8,60.07,monthly,0,24.31,1
C0581,7,51.98,monthly,3,20.1,1
C0582,61,112.14,monthly,4,62.26,1
C0583,8,113.15,annual,1,25.89,1
C0584,4,105.9,monthly,5,98.12,1
C0585,30,118.04,annual,5,20.44,1
C0586,67,97.05,monthly,0,77.45,0
C0587,50,98.82,monthly,3,39.47,1
C0588,8,98.63,monthly,4,97.4,1
C0589,61,73.25,annual,2,50.52,0
C0590,61,71.08,monthly,6,22.18,1
C0591,58,51.62,monthly,2,22.15,1
C0592,65,88.03,annual,1,64.27,0
C0593,18,56.04,monthly,3,98.94,1
C0594,71,53.2,monthly,2,98.38,0
C0595,24,82.74,annual,3,46.98,1
C0596,58,66.9,monthly,3,58.62,1
C0597,42,49.7,monthly,3,28.04,1
C0598,57,103.45,monthly,3,61.77,0
C0599,46,107.45,monthly,3,67.98,1
C0600,47,45.09,monthly,3,40.08,1
C0601,45,30.68,annual,4,68.97,0
C0602,57,60.25,monthly,3,91.98,0
C0603,54,101.78,annual,3,20.08,1
C0604,10,105.53,annual,4,38.31,1
C0605,60,42.45,monthly,3,36.79,0
C0606,39,99.69,annual,3,29.91,0
C0607,24,40.41,annual,5,33.29,0
C0608,38,65.11,annual,4,70.07,0
C0609,70,119.87,monthly,2,28.22,1
C0610,62,47.33,monthly,4,79.08,1
C0611,61,43.86,monthly,5,90.96,1
C0612,34,68.05,monthly,3,94.13,1
C0613,57,85.77,monthly,3,72.81,0
C0614,28,113.96,monthly,5,35.79,1
C0615,50,118.27,monthly,3,26.82,1
C0616,47,36.27,annual,1,38.56,0
C0617,18,42.42,monthly,8,96.96,1
C0618,20,101.17,monthly,3,96.99,1
C0619,5,54.36,monthly,2,50.55,1
C0620,11,109.64,monthly,2,46.06,1
C0621,32,89.71,monthly,2,60.8,1
C0622,35,40.07,monthly,1,43.34,1
C0623,12,104.93,monthly,2,98.37,1
C0624,31,45.87,monthly,2,37.7,1
C0625,44,68.11,monthly,4,49.53,1
C0626,17,79.7,monthly,4,54.35,1
C0627,25,75.07,monthly,2,30.01,1
C0628,27,91.75,monthly,2,50.63,1
C0629,37,88.74,monthly,2,88.54,1
C0630,27,119.28,monthly,4,31.23,1
C0631,54,119.95,monthly,2,66.72,1
C0632,24,76.48,annual,4,52.53,1
C0633,32,38.57,annual,0,33.64,0
C0634,28,95.51,annual,5,20.99,1
C0635,14,117.9,monthly,3,41.87,1
C0636,50,58.65,monthly,3,24.95,1
C0637,17,71.51,monthly,7,50.14,1
C0638,22,68.23,annual,2,84.82,0
C0639,58,34.63,annual,0,77.57,0
C0640,69,90.5,annual,1,95.79,0
C0641,49,61.8,annual,4,54.16,0
C0642,66,100.87,monthly,3,76.62,1
C0643,62,104.89,annual,2,73.23,0
